,nCounts,nFeatures
BC0274_N01,26531,9573
BC0275_N02,46005,11459
BC0276_N01,21391,8513
BC0280_N02,43914,10497
BC0281_N02,48257,11636
BC0282_N03,69512,12164
BC0283_N01,26421,9730
BC0284_N01,25687,9175
BC0286_N01,25026,9279
BC0287_N01,26526,9565
BC0289_N01,23677,9052
BC0290_N02,15722,5883
BC0291_N01,1320,710
BC0293_N01,24194,9163
BC0294_N01,25999,9454
BC0295_N02,29697,9092
BC0296_N01,26435,9798
BC0297_N01,26852,9557
BC0298_N01,22402,8660
BC0299_N01,23468,8728
BC0300_N01,26104,9474
BC0301_N02,24444,7328
BC0302_N03,65189,11763
BC0303_N02,41557,10436
BC0304_N01,22849,8727
BC0305_N04,87065,13315
BC0306_N03,63215,11724
BC0307_N02,40436,10179
BC0308_N01,22927,9049
BC0309_N06,102657,12595
BC0310_N01,24762,9230
BC0311_N01,24551,8956
BC0312_N01,21713,8052
BC0313_N01,23854,8696
BC0314_N01,24551,9269
BC0315_N03,66535,12208
BC0316_N02,2626,890
BC0319_N06,87497,12830
BC0321_N01,22557,8740
BC0322_N01,23686,8907
BC0324_N03,59942,12810
BC0325_N04,44679,9705
BC0326_N02,37442,9024
BC0327_N03,64037,12056
BC0329_N01,26858,9576
BC0331_N01,21121,8068
BC0332_N02,45298,10342
BC0333_N02,42061,10345
BC0334_N03,53168,10140
BC0335_N02,36543,10177
BC0336_N01,25070,9172
BC0337_N01,26259,9141
BC0338_N03,49098,11024
BC0339_N03,62088,11544
BC0342_N01,20790,8144
BC0343_N01,24547,8818
BC0344_N02,43511,10586
BC0346_N02,44488,10722
BC0347_N01,23536,8941
BC0348_N01,25310,9318
BC0349_N01,23031,8738
BC0350_N01,19668,8045
BC0351_N01,26298,9598
BC0352_N01,22785,8474
BC0353_N01,23848,8654
BC0354_N01,24159,9100
BC0356_N03,65562,11794
BC0357_N01,24785,9014
BC0358_N04,68561,12596
BC0359_N01,12199,5116
BC0361_N01,21571,8185
BC0362_N01,16969,6637
BC0363_N02,37860,9282
BC0365_N01,21591,8222
BC0366_N05,85050,11900
BC0368_N03,57496,11505
BC0369_N04,58682,10835
BC0370_N01,21677,8269
BC0372_N01,23827,8706
BC0373_N01,22691,8387
BC0374_N02,40351,9428
BC0376_N01,25574,9262
BC0377_N01,20588,8166
BC0378_N01,20033,7758
BC0379_N02,43630,10130
BC0380_N01,26043,9391
BC0383_N01,24079,8768
BC0384_N02,32649,9008
BC0385_N02,35645,10179
BC0386_N01,23249,8474
BC0387_N01,23524,8530
BC0389_N02,39678,10611
BC0390_N01,25587,9339
BC0391_N02,36794,9324
BC0392_N03,34251,9168
BC0393_N04,61664,12232
BC0394_N01,21264,8479
BC0396_N01,23842,8805
BC0397_N02,33741,9097
BC0398_N02,41425,9846
BC0400_N01,22995,8655
BC0401_N01,22080,8341
BC0402_N03,61404,11535
BC0403_N01,21196,8052
BC0405_N01,22628,8638
BC0406_N01,23956,8743
BC0407_N01,24811,9008
BC0408_N02,45548,10533
BC0409_N03,57545,11154
BC0410_N02,33032,9574
BC0411_N01,22259,8249
BC0412_N01,22397,8350
BC0413_N01,23145,8414
BC0414_N01,18951,7586
BC0415_N01,23705,7146
BC0416_N01,23344,8905
BC0417_N01,23519,8910
BC0418_N03,42568,9215
BC0419_N01,19834,7908
BC0420_N02,30809,9401
BC0421_N03,49012,9323
BC0422_N01,24543,8870
BC0423_N01,22964,8588
BC0425_N01,22718,8450
BC0426_N03,58607,10522
BC0427_N03,59703,11423
BC0428_N01,21939,8381
BC0429_N03,59477,11712
BC0430_N02,37284,9831
BC0431_N01,23464,8658
BC0432_N02,40886,10171
BC0433_N02,27406,8678
BC0434_N01,22791,8417
BC0435_N02,36088,9407
BC0436_N01,23951,8629
BC0438_N04,65274,11454
BC0439_N02,42822,10007
BC0441_N03,67563,11441
BC0442_N01,22398,8284
BC0443_N02,32278,9128
BC0445_N01,20217,7700
BC0446_N02,31774,8460
BC0448_N01,21567,8083
BC0449_N01,20259,7538
BC0450_N01,20310,7742
BC0451_N02,37001,9493
BC0452_N01,24179,8479
BC0453_N01,15596,6572
BC0454_N02,24085,7804
BC0455_N02,36285,9289
BC0456_N01,19613,7540
BC0457_N02,40260,9795
BC0458_N01,20393,7723
BC0459_N01,19260,7429
BC0460_N01,22633,8310
BC0462_N03,44368,9338
BC0463_N03,48525,9517
BC0464_N02,38444,9849
BC0467_N01,19799,7635
BC0469_N01,22025,8383
BC0470_N01,20309,7809
BC0471_N01,22960,8374
BC0473_N02,41141,9569
BC0474_N03,54010,10119
BC0475_N02,27896,8038
BC0476_N02,29635,8868
BC0477_N01,19496,7587
BC0478_N02,34764,8924
BC0480_N01,21527,8128
BC0481_N02,41625,9744
BC0482_N02,37036,8970
BC0483_N01,22634,8285
BC0484_N01,19954,7632
BC0485_N02,34755,9384
BC0486_N01,20155,8013
BC0488_N01,19671,7763
BC0489_N02,39669,10016
BC0490_N01,18610,7545
BC0491_N02,41640,10191
BC0493_N02,43174,10453
BC0494_N01,23014,8474
BC0496_N01,22354,8315
BC0497_N06,85388,10505
BC0498_N01,22910,8514
BC0499_N01,22837,8563
BC0500_N03,58990,11024
BC0501_N01,20590,7938
BC0502_N03,41864,8878
BC0503_N01,22581,8694
BC0504_N01,19955,8155
BC0505_N02,38563,10045
BC0506_N02,33273,9168
BC0507_N02,41143,9571
BC0508_N01,20953,8253
BC0509_N02,35823,9684
BC0510_N01,22387,8173
BC0512_N01,20228,8114
BC0513_N02,34694,8906
