,nCounts,nFeatures
BC03040_N03,352,281
BC03038_N01,1698,989
BC03028_N03,2386,1289
BC03027_N01,912,575
BC03021_N04,3175,1544
BC03019_N04,2820,1577
BC03013_N02,2671,1414
BC03012_N04,2191,1252
BC03005_N04,3378,1598
BC03001_N05,3880,1844
BC02995_N02,5222,1326
BC02276_N06,12258,3201
BC01576_N05,3685,1856
BC00595_N02,2728,1352
BC01573_N01,1842,1152
BC01617_N04,3493,1696
BC01129_N03,8653,2688
BC01568_N04,2765,1420
BC00201_N06,8034,2603
BC02679_N04,9396,2392
BC02094_N04,2620,1342
BC01563_N02,2419,1424
BC00129_N03,9925,3523
BC00612_N05,6630,2906
BC02578_N03,3350,1755
BC01561_N03,4501,1582
BC01237_N04,2214,1155
BC01560_N03,4293,1900
BC01557_N03,5483,2289
BC00442_N01,1306,859
BC01554_N03,6087,2366
BC02593_N04,2112,1229
BC02662_N02,2912,1575
BC00048_N03,6608,2736
BC01550_N07,4979,2033
BC01084_N02,5232,1935
BC01134_N04,2132,1287
BC01547_N02,1934,1192
BC00696_N04,12193,3468
BC02487_N03,5726,2255
BC01546_N02,5197,2222
BC01544_N04,4867,2295
BC01543_N05,3996,1815
BC01540_N06,3491,1700
BC00259_N02,1072,652
BC00304_N05,6206,2428
BC01534_N01,1126,819
BC01533_N03,955,647
BC01532_N01,1040,684
BC01531_N04,5189,2173
BC01528_N05,5230,2221
BC01846_N02,7194,2485
BC00117_N04,7922,2852
BC01527_N04,7464,2664
BC01525_N03,2019,1130
BC01613_N04,9840,2664
BC01522_N02,4998,2135
BC01519_N03,3927,1772
BC01518_N03,4494,1956
BC01792_N03,3165,1598
BC02066_N03,2577,1444
BC01514_N04,6790,2311
BC02180_N02,2578,1351
BC00897_N04,4089,1990
BC01355_N04,5206,2128
BC01512_N05,6284,2652
BC02104_N03,1927,1065
BC01511_N10,1787,1087
BC01289_N04,4588,2033
BC00526_N02,4679,2089
BC01508_N03,6164,2416
BC01141_N02,1640,1020
BC02082_N09,2809,1469
BC01504_N02,2764,1394
BC00949_N01,667,497
BC01310_N02,5046,2347
BC01501_N01,2210,1222
BC01542_N06,5105,2140
BC00661_N05,6391,2616
BC00647_N02,10327,3195
BC01498_N03,3890,1795
BC01351_N01,3671,1777
BC01496_N04,3712,1643
BC00114_N04,9885,3213
BC00156_N01,5951,2416
BC02163_N05,5035,2172
BC01484_N02,1817,1126
BC01482_N02,4161,1960
BC00837_N03,4760,2087
BC02812_N01,774,557
BC01479_N06,1882,1012
BC01133_N06,4434,2028
BC01865_N05,9601,3088
BC01593_N06,4888,2098
BC01475_N02,2071,1120
BC01471_N02,4935,2063
BC00590_N02,6139,2468
BC03916_N03,2551,1405
BC00381_N04,7410,2731
BC02391_N03,4334,2007
BC01049_N03,3987,1763
BC01468_N03,6529,2591
BC01463_N05,2259,1254
BC00019_N02,2200,1209
BC01462_N03,2199,1252
BC02357_N14,9413,3445
BC01461_N05,6377,2541
BC01459_N02,2273,1002
BC00024_N02,11659,3509
BC01458_N03,3225,1689
BC01456_N02,2324,1320
BC00010_N03,3991,2117
BC02860_N01,1362,851
BC02916_N04,2199,1329
BC00683_N03,7112,2777
BC01553_N02,3575,1622
BC01453_N01,2913,1487
BC01451_N03,3710,1739
BC00886_N03,7078,2564
BC00729_N02,3154,1583
BC01448_N03,4962,2214
BC01447_N03,4826,1951
BC01446_N04,3051,1434
BC02564_N04,4397,2098
BC01585_N02,1336,903
BC01442_N04,6236,2663
BC01056_N03,5146,2055
BC00239_N01,1214,772
BC01438_N02,6459,2657
BC00862_N02,3201,1561
BC00585_N02,4569,2205
BC01435_N03,2174,1081
BC00566_N04,6063,2495
BC02852_N03,2803,1543
BC00664_N03,3341,1602
BC01132_N03,4494,1988
BC01432_N02,3720,1782
BC01429_N07,3349,1686
BC01571_N02,1395,872
BC01427_N03,6081,2241
BC01426_N02,2280,1265
BC01818_N03,1879,1127
BC01421_N02,5043,2199
BC00699_N05,5379,2211
BC00740_N03,3787,1903
BC00398_N02,2840,1551
BC00958_N04,5233,2336
BC01221_N04,4799,2083
BC01408_N02,2686,1408
BC01044_N04,3420,1702
BC00765_N03,6621,2645
BC01405_N06,2804,1374
BC03415_N01,5519,2083
BC02428_N06,4118,1969
BC00033_N04,23449,4464
BC02040_N02,2826,1515
BC01401_N03,10840,2625
BC01216_N06,3526,1556
BC01397_N04,3539,1861
BC01396_N03,5547,2311
BC01115_N03,5301,2217
BC02154_N02,3301,1712
BC00920_N02,3441,1783
BC01476_N03,3500,1780
BC01779_N03,738,535
BC01287_N05,3966,1937
BC01386_N05,6490,2585
BC00371_N01,2154,1255
BC01382_N03,2050,1243
BC02247_N03,1515,972
BC02292_N04,2161,1227
BC01375_N02,1018,739
BC01370_N04,4575,2104
BC00778_N03,3958,1933
BC01368_N02,2441,1335
BC01177_N02,5179,2136
BC01367_N10,9500,2958
BC01363_N01,4527,1991
BC01392_N06,3250,1486
BC01362_N02,859,582
BC01360_N02,2834,1570
BC00408_N03,9835,3343
BC02903_N02,2843,1511
BC01359_N05,5914,2411
BC01651_N02,3998,1943
BC01724_N02,1528,920
BC01464_N02,1684,964
BC02620_N02,3898,1805
BC00850_N04,7434,2780
BC02046_N07,5575,2322
BC01495_N02,3031,1426
BC01535_N02,3573,1580
BC02360_N05,10703,3368
BC01353_N02,3102,1516
BC01350_N01,1432,1011
BC01348_N02,9126,3111
BC01341_N03,3184,1484
BC00120_N03,9022,3111
BC01428_N02,1564,927
BC00070_N02,5551,2317
BC01339_N03,3274,1828
BC01549_N01,4393,1798
BC00149_N03,1878,1090
BC01246_N02,5903,2567
BC00931_N04,3719,1702
BC04081_N01,289,237
BC01379_N03,2636,1389
BC01333_N05,3322,1693
BC01497_N01,2633,1452
BC01329_N03,7503,2465
BC00974_N06,8741,2999
BC01809_N01,762,561
BC01328_N06,4092,2008
BC00600_N05,8789,3263
BC01327_N04,6424,2421
BC00929_N01,3970,1804
BC01825_N06,3471,1774
BC01842_N03,3351,1691
BC01324_N03,2069,1157
BC00552_N04,5585,2406
BC02199_N04,4372,2029
BC01322_N01,3051,1549
BC01319_N02,4379,1949
BC02607_N01,1822,1134
BC01314_N03,2838,1473
BC02393_N02,4860,2072
BC02599_N01,1169,770
BC01312_N02,3061,1508
BC00681_N03,5144,2291
BC00674_N07,10814,3588
BC01304_N02,2223,1240
BC01301_N02,1425,896
BC00782_N02,3660,1754
BC01296_N02,1883,1101
BC01627_N02,670,470
BC01294_N04,1246,784
BC00669_N03,6432,2659
BC01291_N03,2331,1333
BC01040_N02,4254,1872
BC02520_N08,5556,2413
BC00576_N04,3231,1644
BC00584_N02,3220,1603
BC00645_N03,5878,2454
BC01372_N06,6250,2504
BC01556_N01,1231,806
BC02740_N03,2001,1195
BC01120_N02,3466,1718
BC01652_N01,4342,1499
BC01537_N02,3382,1588
BC02953_N06,1841,1092
BC01380_N02,4145,2036
BC01267_N02,2863,1516
BC01520_N04,3499,1641
BC01330_N02,4960,2151
BC01262_N02,3637,1731
BC01570_N05,2133,1235
BC01259_N02,2289,1295
BC01258_N07,3642,1663
BC00127_N01,1156,693
BC00042_N02,4436,2261
BC01256_N02,2172,1140
BC01255_N04,4764,2085
BC00623_N06,4117,2019
BC01253_N05,3152,1609
BC01311_N02,1791,960
BC01252_N04,3174,1512
BC01413_N02,5834,2157
BC01366_N05,9370,3054
BC03181_N03,1502,927
BC01250_N03,4948,2081
BC01867_N04,1573,987
BC01248_N01,1871,1174
BC00948_N02,3663,1824
BC01244_N05,5394,2204
BC01243_N02,845,626
BC00911_N02,2617,1371
BC01236_N02,4050,2094
BC01123_N03,3720,1726
BC01643_N03,4902,2167
BC00402_N06,5600,2376
BC01232_N02,6771,2419
BC00351_N02,2202,1220
BC02636_N08,2044,1095
BC00665_N01,5624,2083
BC00643_N01,3204,1648
BC01323_N04,3585,1761
BC01224_N03,4606,1993
BC00580_N01,2358,1298
BC01219_N04,4401,1958
BC01218_N03,3859,1867
BC01217_N02,4288,2132
BC00234_N02,22625,5157
BC01183_N02,4262,1925
BC00934_N03,2745,1400
BC01213_N02,7272,2377
BC01212_N02,2121,1204
BC00695_N03,3910,1833
BC00134_N03,14096,3972
BC01093_N04,3690,1864
BC00693_N03,1958,1055
BC01203_N03,2344,1398
BC01026_N04,7815,2782
BC01199_N02,2262,1316
BC01740_N01,2621,1385
BC02755_N02,5018,1921
BC01193_N04,3619,1847
BC00180_N01,5498,2307
