,nCounts,nFeatures
BC2936_N02,1719,1144
BC2935_N01,1834,1122
BC2934_N01,2441,1429
BC2932_N03,2523,1441
BC2931_N04,1787,1091
BC2929_N03,1355,920
BC2927_N03,2729,1422
BC2926_N03,831,618
BC2925_N02,3306,1664
BC2923_N02,1521,988
BC2921_N04,929,661
BC2975_N01,721,626
BC2919_N03,5520,2533
BC3013_N01,1386,912
BC2918_N01,613,524
BC2915_N01,556,462
BC2913_N04,2732,1482
BC3099_N01,630,462
BC2912_N01,545,456
BC2910_N02,2346,1419
BC2909_N04,884,668
BC2908_N01,1510,1074
BC2907_N02,3499,1770
BC2906_N01,1834,1135
BC2905_N03,1845,1123
BC2914_N01,1983,1281
BC2903_N02,2363,1519
BC2902_N01,2131,1272
BC2901_N02,2998,1795
BC2899_N01,683,527
BC2897_N02,1009,697
BC2896_N02,2811,1581
BC2892_N04,2797,1721
BC2889_N04,4229,2426
BC3003_N01,968,683
BC2888_N02,1415,956
BC2886_N01,1168,804
BC2885_N03,2429,1367
BC2883_N03,3242,1796
BC2881_N01,2034,1392
BC2878_N02,2437,1419
BC2875_N03,2557,1511
BC2874_N02,855,645
BC2871_N01,2157,1386
BC2867_N01,1397,1012
BC2866_N02,2416,1475
BC2864_N01,2236,1458
BC2863_N03,2509,1515
BC2862_N02,6045,3087
BC2858_N02,2673,1540
BC2853_N02,2073,1370
BC2969_N01,399,332
BC2852_N02,2151,1311
BC2851_N01,2041,1250
BC2850_N02,4023,1968
BC2849_N01,1980,1146
BC2848_N01,1559,999
BC2847_N01,4144,2312
BC2846_N01,1499,1136
BC2844_N04,2329,1401
BC2893_N01,887,646
BC2843_N02,4178,2223
BC2842_N03,1730,1179
BC2840_N04,3056,1634
BC2839_N01,1207,787
BC2924_N02,1738,1136
BC2838_N03,3303,1777
BC2837_N01,3875,2183
BC2836_N01,1581,1047
BC2834_N02,998,672
BC2830_N02,1696,1079
BC2829_N02,2897,1664
BC2825_N02,2319,1451
BC2823_N03,2044,1281
BC2995_N01,1667,1162
BC2822_N01,700,579
BC2821_N02,2124,1192
BC2818_N01,2688,1563
BC2815_N01,3372,2035
BC2806_N03,4303,2463
BC2803_N01,2163,1329
BC2802_N03,2399,1292
BC2800_N02,2630,1714
BC2798_N04,2525,1410
BC2796_N01,5023,2383
BC2795_N02,2466,1499
BC2794_N01,1778,1179
BC2792_N01,1450,912
BC2790_N01,709,570
BC3059_N01,1822,1206
BC2788_N01,3543,2060
BC2786_N01,1174,801
BC2785_N01,829,620
BC2784_N04,2482,1406
BC2783_N02,1860,1158
BC2776_N02,1178,799
BC2773_N03,3875,1974
BC2769_N03,2182,1242
BC2768_N01,2130,1313
BC2766_N05,2454,1314
BC2761_N03,930,683
BC2759_N02,3883,1918
BC2758_N01,1130,830
BC2756_N01,1133,826
BC2754_N01,2110,1373
BC2752_N01,2913,1645
BC2751_N03,1767,1047
BC2750_N02,1185,846
BC2749_N04,1441,958
BC2748_N01,2408,1555
BC2744_N01,1671,1109
BC2743_N03,3525,1853
BC2742_N03,2570,1503
BC2741_N04,4650,2422
BC2740_N01,1901,1305
BC2736_N02,1170,842
BC2732_N03,5041,2321
BC2731_N03,2666,1497
BC2789_N02,4803,2494
BC2727_N02,1295,950
BC2726_N02,2123,1223
BC2725_N01,3079,1706
BC2722_N02,1913,1273
BC2720_N03,3400,2032
BC2716_N02,1389,969
BC2713_N03,1994,1220
BC2711_N04,2309,1418
BC2870_N01,926,680
BC2708_N02,1327,948
BC2707_N01,2256,1434
BC2704_N01,1698,1129
BC2703_N05,4512,2469
BC3103_N01,2694,1552
BC2701_N01,1066,786
BC2700_N03,4393,2400
BC2696_N03,1677,1079
BC2695_N02,3461,1941
BC2694_N02,2208,1477
BC2693_N01,762,590
BC2691_N01,1045,735
BC2690_N01,1243,901
BC2689_N02,2029,1358
BC2686_N02,2747,1578
BC2683_N01,1528,1071
BC2682_N02,2015,1267
BC2680_N03,2362,1482
BC2679_N02,3933,2189
BC2678_N02,7409,3069
BC2675_N02,1581,1043
BC2674_N01,1010,757
BC2673_N03,4880,2634
BC2672_N03,4564,2256
BC2669_N01,4379,2217
BC2667_N01,2498,1482
BC2665_N02,1887,1331
BC2663_N02,3655,1843
BC2662_N01,1247,922
BC2659_N03,1139,787
BC2655_N01,3142,1852
BC2654_N02,5267,2462
BC2653_N02,2923,1603
BC2649_N02,2055,1313
BC2801_N01,1574,1067
BC2648_N01,3760,2080
BC2647_N01,1375,981
BC2644_N02,855,662
BC2643_N01,3220,1926
BC3156_N02,1757,1101
BC2634_N01,445,393
BC2632_N02,1668,1096
BC2631_N03,2802,1533
BC2629_N04,4126,1869
BC2627_N03,3775,2249
BC2625_N01,2266,1340
BC2623_N04,2460,1372
BC2622_N01,1713,1176
BC3046_N02,1716,1052
BC2620_N03,4005,2009
BC2618_N03,3772,2059
BC3054_N03,1743,1132
BC2617_N01,2183,1380
BC2616_N01,2321,1319
BC2615_N01,220,191
BC2613_N01,2356,1381
BC2612_N02,1118,780
BC2611_N02,4893,2261
BC2610_N02,1952,1204
BC2991_N01,4276,2054
BC2608_N01,1371,996
BC2607_N02,4450,2497
BC2602_N03,3671,1875
BC2600_N01,1319,914
BC2598_N02,2052,1262
BC2597_N01,3186,1840
BC2596_N01,6376,2515
BC2595_N02,3140,1750
BC2594_N02,1944,1192
BC2591_N03,4023,1863
BC2589_N01,2335,1399
BC2587_N04,5592,2464
BC2586_N01,3862,2021
BC2976_N02,1465,964
BC2585_N01,3356,1863
BC2584_N01,3059,1816
BC2583_N01,2778,1677
BC2582_N02,1989,1287
BC2938_N02,1838,1093
BC2933_N03,4842,2311
BC2576_N02,1319,883
BC2575_N01,3090,1699
BC2569_N02,2187,1401
BC2568_N02,1558,1063
BC2565_N03,4634,2517
BC3034_N01,1194,873
BC2563_N02,4942,2170
BC2562_N04,3609,1850
BC2560_N04,6432,2979
BC2559_N01,914,698
BC2557_N03,3217,1674
BC2555_N02,1166,888
BC2553_N01,1196,810
BC2552_N02,4874,2343
BC2551_N01,2742,1607
BC2973_N02,1438,975
BC2550_N01,4560,2547
BC2549_N02,1856,1259
BC2546_N02,3172,1860
BC2545_N01,1459,1075
BC2544_N01,877,698
BC2539_N02,3333,1745
BC2536_N02,2532,1486
BC3051_N02,2275,1291
BC2531_N01,1233,818
BC2530_N03,4687,2238
BC2528_N02,2515,1461
BC2527_N02,8434,3481
BC2526_N01,4121,2078
BC2525_N02,1491,971
BC2524_N04,4743,2202
BC3211_N01,190,165
BC2521_N02,4022,2119
BC2519_N02,4394,1976
BC2518_N01,2881,1772
BC2516_N01,4517,2210
BC2515_N05,7522,3127
BC2513_N01,4019,2014
BC2512_N03,873,663
BC2511_N02,4104,2047
BC2510_N01,4459,2045
BC2505_N04,5537,2666
BC2503_N02,2149,1353
BC2500_N02,3104,1633
BC2499_N02,2698,1703
BC2497_N01,806,612
BC2495_N02,1593,1061
BC3007_N01,949,702
BC2489_N02,1880,1237
BC3110_N02,2106,1336
BC2487_N01,1559,1005
BC2486_N03,6691,2874
BC2484_N01,3070,1717
BC2483_N03,2161,1258
BC2482_N02,4911,2296
BC2478_N03,2773,1766
BC2477_N03,4583,2239
BC2476_N04,3144,1784
BC2475_N03,2324,1417
BC2474_N05,2530,1428
BC2473_N02,2139,1332
BC2472_N02,2456,1454
BC2470_N02,2187,1463
BC2469_N02,3147,1754
BC2467_N01,4291,2161
BC2466_N01,766,637
BC2464_N04,5422,2416
BC2462_N03,1429,871
BC2461_N02,6659,2764
BC2460_N02,4541,2123
BC2458_N01,1238,842
BC2457_N02,5835,2610
BC2455_N03,1773,1063
BC2449_N03,2319,1346
BC2448_N05,2880,1773
BC2447_N03,4075,1965
BC2444_N03,3006,1772
BC2440_N03,6671,3232
BC2435_N01,1577,1048
BC3072_N01,473,396
BC2433_N02,1679,1022
BC2432_N02,2354,1334
BC2556_N02,4666,2522
BC2429_N02,2801,1501
BC2537_N01,3162,1787
BC2427_N02,4286,2055
BC2425_N01,2545,1396
BC2424_N02,1073,802
BC2422_N01,1068,804
BC2419_N01,2245,1369
BC2417_N02,2775,1534
BC2415_N01,3173,1845
BC2414_N02,4116,1965
BC2411_N02,4796,2114
BC2409_N02,2537,1435
BC2406_N07,4263,1910
BC2403_N03,3683,1842
BC2401_N01,1434,910
BC2400_N01,3584,1875
BC2397_N02,635,523
BC2394_N01,1910,1309
BC2392_N01,1528,1062
BC2391_N02,4444,2427
BC2390_N01,1404,1038
BC2389_N02,1196,897
BC2386_N01,2266,1375
BC2385_N01,3180,1829
BC2384_N02,3112,1716
BC2383_N02,718,579
BC2377_N01,2084,1349
BC2373_N01,958,714
BC2371_N02,2443,1417
BC2365_N02,4591,2120
BC2363_N04,4202,1981
BC2621_N02,2333,1540
BC2360_N03,3496,1748
BC2359_N02,1579,1100
BC2358_N01,2017,1307
BC2356_N01,1935,1275
BC2353_N03,6024,2616
BC2351_N01,1982,1400
BC2349_N04,3931,1828
BC2347_N03,3065,1680
BC2346_N01,3723,2099
BC2343_N03,5435,2549
BC2342_N03,4278,2213
BC2340_N01,763,539
BC2339_N01,2491,1437
BC2338_N01,1183,836
BC2337_N01,1857,1188
BC2336_N03,3319,1965
BC2333_N03,4035,2411
BC2332_N04,1773,1124
BC2808_N01,1797,1210
BC2330_N02,3545,1805
BC2327_N02,3306,1927
BC2326_N01,4230,2259
BC2323_N02,2276,1350
BC2322_N02,2692,1521
BC2319_N03,787,632
BC2316_N02,1729,1068
BC2315_N01,1628,1088
BC2314_N02,2987,1814
BC2308_N01,3301,1736
BC2307_N02,2504,1552
BC2303_N02,4487,2061
BC2302_N04,4019,1984
BC2298_N02,2795,1612
BC2296_N01,717,559
BC2295_N01,882,641
BC2294_N03,2979,1452
BC2293_N03,2220,1376
BC2292_N02,3816,1970
BC2291_N01,1313,890
BC2289_N01,6076,2959
BC2288_N03,9008,3966
BC2286_N05,4714,2211
BC2284_N03,8506,3665
BC2718_N03,2263,1450
BC2280_N01,1569,1055
BC2279_N01,3842,2016
BC2278_N01,2362,1483
BC2277_N02,3870,2086
BC2275_N01,1669,1129
BC2273_N01,2304,1346
BC2272_N03,755,621
BC2269_N03,4859,2261
BC2264_N03,3096,1893
BC2263_N01,908,689
BC2262_N02,1606,953
BC2256_N03,3357,1762
BC2251_N03,2170,1318
BC2245_N03,2321,1348
BC2243_N03,6664,2909
BC2532_N03,1332,865
BC2241_N01,3213,1818
BC2239_N01,3451,1824
BC2238_N02,5639,2936
BC2235_N02,3292,1763
BC2233_N02,2408,1540
BC2232_N01,574,449
BC2229_N02,1219,831
BC2227_N01,2417,1470
BC2226_N02,5720,2871
BC2223_N01,4708,2407
BC2222_N01,1000,750
BC2221_N01,288,255
BC2220_N02,3481,1740
BC2217_N01,2773,1538
BC2590_N02,3641,1884
BC2216_N03,5542,2472
BC2212_N03,1700,1103
BC2208_N02,994,719
BC2207_N02,3717,1971
BC2206_N02,1715,1150
BC2205_N02,2065,1205
BC2204_N04,3675,1884
BC2203_N01,2391,1593
BC2201_N02,2740,1591
BC2200_N02,3000,1725
BC2194_N04,3259,1834
BC2410_N02,2225,1391
BC2192_N03,2904,1592
BC2283_N01,1693,1071
BC2191_N02,3148,1659
BC2190_N01,1867,1291
BC2180_N03,4429,2127
BC2173_N02,2426,1510
BC2172_N04,4365,2231
BC2171_N02,653,532
BC2170_N02,5708,2463
BC2168_N02,3501,2085
BC2166_N04,4651,2378
BC2165_N01,1319,935
BC2164_N02,2224,1371
BC2163_N01,4186,2197
BC2162_N03,3042,1650
BC2160_N01,2189,1274
BC2159_N02,2656,1686
BC2152_N03,3045,1862
BC2151_N02,4622,2340
BC2150_N06,2998,1785
BC1519_N02,1747,1060
BC1018_N02,7021,3206
BC1016_N01,4159,2052
BC2765_N01,3244,1643
BC1647_N01,4416,2207
BC2077_N02,3415,1808
BC1005_N01,8478,3765
BC2747_N01,1931,1190
BC0995_N01,3175,1704
BC1625_N02,5990,2656
BC2214_N03,2068,1311
BC1302_N02,5635,2717
BC0986_N03,3055,1633
BC2463_N02,3151,1774
BC1377_N01,6037,2804
BC1486_N01,4293,2215
BC1826_N01,5220,2662
BC3172_N02,1592,1052
BC2265_N01,1137,735
BC2033_N06,6525,2704
BC1333_N01,2437,1533
BC0965_N02,4995,2404
BC3137_N01,2750,1818
BC1607_N01,2968,1674
BC0961_N03,8273,3369
BC0974_N01,441,381
BC0867_N03,3071,1893
BC0951_N01,1279,907
BC1968_N02,4485,1953
BC1039_N03,3908,2156
BC2737_N03,1432,922
BC0936_N01,3162,1711
BC2980_N01,2759,1601
BC2904_N01,779,565
BC2816_N01,1185,916
BC0928_N01,3297,1715
BC0341_N01,5800,2513
BC1232_N02,6659,2669
BC0918_N02,2781,1543
BC0916_N02,5493,2574
BC1511_N01,2863,1493
BC0911_N02,5247,2592
BC2890_N01,336,302
BC2101_N03,3850,2015
BC2078_N03,5083,2453
BC0900_N02,1225,857
BC0898_N01,1125,840
BC1318_N01,4916,2222
BC2705_N01,3394,2033
BC1584_N03,4017,1846
BC0882_N01,5279,2568
BC2329_N01,7542,3149
BC1823_N03,5306,2849
BC3101_N01,1165,821
BC0875_N01,5331,2819
BC0874_N01,1281,870
BC3068_N01,1769,1183
BC1857_N01,4291,2052
BC1889_N02,6300,2688
BC3122_N02,2862,1578
BC2498_N02,2695,1561
BC0856_N02,1608,1002
BC0846_N03,2672,1592
BC0844_N03,8169,3379
BC0843_N03,5403,2811
BC2645_N02,4390,2180
BC1783_N02,3137,1760
BC1035_N02,5713,2713
BC0836_N03,3034,1783
BC2344_N02,2092,1259
BC1367_N01,6658,3327
BC2813_N01,1982,1264
BC1586_N02,5796,2778
BC2024_N02,3902,2089
BC0830_N01,5527,2565
BC2209_N02,2229,1340
BC2859_N01,2841,1664
BC0817_N03,4107,2113
BC0798_N02,1744,1199
BC1914_N02,773,586
BC0796_N04,3727,2073
BC1157_N02,7296,3150
BC2835_N01,2155,1356
BC2541_N01,1914,1291
BC1021_N01,1498,1007
BC0553_N01,1690,1137
BC2558_N01,1159,833
BC2321_N01,805,654
BC1131_N02,5588,2610
BC0627_N01,1785,1138
BC0783_N01,3223,1780
BC3010_N01,2235,1449
BC1467_N01,3678,1952
BC1787_N04,4600,2246
BC2260_N03,4592,2511
BC2728_N01,1042,707
BC3124_N01,1074,758
BC1442_N02,2606,1632
BC1925_N02,3503,1878
BC1183_N02,1898,1310
BC0771_N01,3004,1724
BC1923_N03,1467,946
BC0764_N02,5862,2869
BC0763_N03,13049,4586
BC2387_N01,4112,2229
BC1079_N03,5974,2833
BC2570_N01,2878,1623
BC3179_N01,95,90
BC2237_N01,784,591
BC1752_N01,3571,2087
BC2820_N04,2515,1354
BC0404_N01,3279,1731
BC2445_N01,2351,1403
BC2865_N02,2828,1767
BC1896_N01,1659,1025
BC2140_N01,3150,1730
BC2724_N01,2716,1596
BC1742_N01,5055,2389
BC1358_N01,4277,2093
BC0721_N03,4426,2093
BC1988_N01,5150,2334
BC1106_N03,5922,2656
BC2366_N01,951,766
BC1390_N03,3529,2020
BC2305_N01,3378,1731
BC0713_N03,12764,4750
BC0650_N02,7086,3236
BC2268_N01,2257,1332
BC1743_N02,3608,1982
BC0110_N02,5772,2751
BC0702_N02,2908,1693
BC0701_N03,12344,4255
BC1880_N01,3619,1870
BC0697_N02,3378,1933
BC2178_N02,2641,1451
BC2081_N01,1761,1253
BC2061_N01,1939,1205
BC3000_N01,2426,1444
BC0749_N01,1488,989
BC1259_N01,2954,1563
BC2712_N01,3109,1700
BC1360_N02,3617,1894
BC2069_N02,4774,2615
BC2119_N02,5526,2601
BC2496_N01,1689,1140
BC2215_N01,1461,1043
BC0062_N03,8292,3248
BC0906_N01,2595,1530
BC3026_N01,422,365
BC0994_N01,2294,1367
BC0649_N01,6326,2724
BC1827_N02,4967,2412
BC0646_N01,6710,2879
BC1078_N03,6538,2752
BC0845_N01,4304,2186
BC1678_N02,2602,1642
BC0643_N01,3776,1998
BC0053_N03,2953,1733
BC1580_N03,6094,2889
BC1309_N02,6241,2988
BC3115_N03,4708,2494
BC0815_N01,7370,3308
BC3030_N02,1140,858
BC2102_N01,457,414
BC0621_N01,2270,1442
BC0791_N02,2188,1322
BC0620_N02,2810,1573
BC2940_N01,1815,1223
BC1253_N02,2744,1666
BC0801_N02,7313,2941
BC1477_N04,4616,2221
BC2535_N01,540,418
BC0663_N01,5606,2639
BC2979_N02,5480,2552
BC1403_N04,8609,3461
BC1938_N04,4571,2464
BC0610_N04,3715,1953
BC0609_N01,5494,2438
BC2324_N01,1550,1094
BC0330_N02,18680,5094
BC0603_N02,11598,4661
BC0601_N03,5934,2710
BC0597_N01,4260,2158
BC1041_N02,6498,2801
BC1091_N03,5425,2715
BC0739_N01,5214,2732
BC0591_N01,7296,3203
BC1168_N01,7785,3631
BC0582_N01,9441,3600
BC2481_N02,2215,1347
BC2088_N02,3631,2154
BC1032_N03,6077,2987
BC1855_N04,1229,818
BC0579_N02,8047,3447
BC1950_N03,1704,1087
BC1635_N01,4952,2214
BC1930_N02,2186,1327
BC2812_N02,3675,2098
BC1337_N04,7455,3348
BC1908_N03,3370,1865
BC2034_N04,2750,1571
BC1922_N01,2408,1471
BC1451_N02,5529,2517
BC2082_N02,3367,1799
BC2638_N01,1474,920
BC2588_N01,2322,1310
BC2911_N01,3539,1925
BC1561_N02,6369,2762
BC0551_N02,7320,2919
BC1946_N03,1399,987
BC1802_N01,3455,1977
BC1757_N02,4785,2240
BC0538_N01,3203,1775
BC1546_N01,2481,1405
BC2709_N01,1371,897
BC1874_N03,3995,2057
BC1151_N01,7857,3093
BC1935_N03,5542,2675
BC1382_N01,3583,2168
BC0527_N01,4585,2353
BC2068_N04,7423,3177
BC1890_N01,2668,1640
BC2005_N03,2142,1267
BC0518_N01,7513,2921
BC2739_N02,4271,2150
BC2095_N02,647,511
BC1336_N02,4329,2190
BC1570_N02,3882,1888
BC0614_N01,1643,1117
BC2733_N01,2542,1516
BC2717_N02,2354,1341
BC1070_N02,2690,1600
BC0639_N01,3142,1700
BC3058_N01,1029,688
BC0826_N01,1846,1188
BC0192_N02,2700,1701
BC3192_N02,204,186
BC0933_N03,5482,2615
BC1648_N02,3747,1910
BC2000_N02,1564,1093
BC0754_N01,1644,1160
BC1512_N02,8718,3659
BC1548_N02,4452,2205
BC2022_N02,4426,2318
BC1593_N03,3940,1964
BC1004_N01,8476,3684
BC0241_N01,3437,1760
BC1542_N01,5711,2620
BC0200_N02,5151,2829
BC0230_N01,4398,2337
BC0225_N03,5513,2615
BC0381_N02,10666,4331
BC1465_N01,3717,2037
BC2520_N02,3099,1883
BC0004_N01,268,250
BC1124_N02,2702,1562
BC2161_N01,3348,1786
BC1534_N01,3792,1936
BC2436_N02,2173,1397
BC0521_N01,1575,1104
BC0788_N01,2988,1732
BC0003_N01,2827,1787
BC2230_N02,1784,1172
BC1402_N02,6885,2877
BC1458_N02,4497,2387
BC1332_N01,319,258
BC1705_N01,3148,1686
BC1373_N02,637,531
BC0750_N01,3222,1708
BC2593_N01,3422,1769
BC3197_N01,457,391
BC0539_N01,7569,3293
BC3185_N01,696,527
BC3028_N01,607,463
BC3159_N01,459,376
BC1162_N03,2513,1501
BC1137_N02,1410,946
BC0167_N02,5026,2496
BC0246_N01,6821,3233
BC2668_N01,569,486
BC1231_N01,2524,1528
BC1176_N02,1110,817
BC1909_N01,3412,1847
BC0345_N02,2272,1432
BC2636_N01,1719,1029
BC1030_N01,4163,2026
BC2408_N02,2974,1587
BC0903_N01,1860,1153
BC2459_N01,3456,1702
BC0320_N01,5290,2598
BC1942_N03,4658,2248
BC3141_N01,2016,1308
BC1818_N02,995,754
BC1867_N01,1751,1101
BC1350_N01,140,135
BC2271_N01,1715,1105
BC1355_N03,3546,1857
BC1955_N02,5349,2545
BC1221_N03,7014,3208
BC1640_N02,3626,1966
BC1475_N03,3230,1729
BC0037_N02,4548,2445
BC0375_N02,9078,3337
BC1069_N02,3867,1978
BC2702_N01,1814,1105
BC0147_N01,13754,4950
BC1246_N03,4598,2287
BC1537_N02,6239,2865
BC2107_N01,1144,868
BC0674_N02,5519,2492
BC2318_N01,5297,2872
BC1745_N01,2003,1392
BC2456_N01,1990,1340
BC0125_N02,12133,4549
BC0752_N01,1908,1250
BC0277_N02,8180,3560
BC0883_N02,6617,2942
BC2195_N01,3240,1660
BC1885_N02,3825,1990
BC1991_N03,4189,2148
BC0159_N01,819,676
BC0756_N02,3310,1842
BC0472_N01,1551,1026
BC0317_N01,1548,1130
BC3206_N01,639,494
BC0586_N01,3341,1829
BC1248_N01,1420,900
BC2125_N04,1852,1209
BC0267_N03,4637,2358
BC1533_N02,7556,3215
BC0271_N04,15226,5072
BC0447_N01,3663,1968
BC0948_N01,2673,1484
BC1643_N02,5965,2839
BC1990_N01,3041,1938
BC1694_N02,1106,812
BC2108_N02,4398,2165
BC0388_N01,1854,1215
BC2255_N01,1054,790
BC2405_N01,3315,1860
BC2127_N02,722,594
BC0155_N02,4920,2401
BC1492_N02,4206,2067
BC1015_N02,9476,3787
BC1778_N03,2474,1388
BC0273_N02,3745,2196
BC1975_N05,5102,2342
BC0794_N01,611,470
BC0468_N03,5643,2574
BC2614_N01,384,329
BC1977_N01,2704,1494
BC2065_N01,3065,1785
BC2501_N03,5109,2520
BC3047_N01,2133,1336
BC1601_N02,8831,3467
BC1768_N03,5086,2540
BC2058_N03,667,505
BC0006_N02,1380,1106
BC1725_N04,3986,2058
BC1784_N02,3449,1832
BC2468_N01,1767,1157
BC2064_N02,3701,1828
BC0807_N01,4540,2240
BC2898_N01,7181,3453
BC0106_N01,6361,3050
BC1084_N01,4395,2330
BC1680_N02,3424,1907
BC0399_N01,6644,3005
BC1929_N02,4136,2026
BC2109_N01,3211,1840
BC2304_N01,1241,863
BC0323_N02,4203,1913
BC1840_N01,1762,1161
BC1943_N01,4449,2236
BC1392_N03,4958,2308
BC1639_N01,2187,1229
BC0079_N01,5900,2905
BC1858_N01,527,424
BC2381_N02,1902,1267
BC0023_N02,21987,5702
BC0679_N02,5137,2320
BC0091_N01,5160,2474
BC1130_N02,6173,2715
BC1206_N01,847,667
BC0012_N01,8284,3120
BC0820_N04,11845,4569
BC0636_N01,5272,2706
BC2884_N01,1026,747
BC1158_N04,2854,1530
BC0908_N01,1254,909
BC2004_N01,2032,1324
BC1481_N01,3178,1811
BC3117_N01,430,340
BC1660_N01,2427,1375
BC2010_N02,5136,2514
BC0010_N02,1714,1122
BC0118_N01,9869,4152
BC1428_N02,9220,3249
BC2254_N01,4471,2340
BC1101_N01,3823,2066
BC1507_N02,3502,1890
BC2404_N02,3265,1900
BC2090_N01,2517,1356
BC0893_N01,2300,1400
BC2735_N01,2187,1442
BC0998_N02,3404,1884
BC2043_N01,1398,922
BC0371_N01,3192,1885
BC0495_N01,6284,2658
BC1437_N03,3483,1883
BC2755_N02,1492,1011
BC1470_N03,5814,2608
BC0122_N01,2175,1504
BC1608_N01,1108,775
BC2388_N01,2935,1676
BC2177_N01,3878,2100
BC0279_N02,12692,4500
BC2320_N02,3925,1909
BC0828_N01,5328,2668
BC0285_N01,3652,2128
BC3121_N01,2306,1300
BC0355_N03,5220,2620
BC0487_N02,3278,2094
BC2056_N02,4283,2263
BC1245_N03,4502,2214
BC1526_N03,2546,1413
BC1753_N02,3826,1877
BC2111_N02,987,719
BC0292_N01,3919,2276
BC1220_N02,2658,1401
BC1679_N01,2127,1437
BC2017_N02,2629,1584
BC1592_N02,8160,3400
BC2087_N01,3674,2107
BC1404_N01,3762,1921
BC2167_N01,1702,1105
BC2282_N01,1662,1126
BC1665_N01,2259,1338
BC0145_N01,7059,3010
BC2011_N03,3168,1855
BC1381_N01,2104,1367
BC1319_N02,4355,2105
BC1582_N01,2641,1487
BC1837_N02,3611,1985
BC1995_N02,1751,1044
BC0542_N01,4936,2577
BC1529_N01,4316,2175
BC1717_N01,304,259
BC1606_N02,3375,1803
BC1365_N01,2940,1614
BC0340_N02,5104,2421
BC2426_N01,1208,851
BC1387_N02,1767,1190
BC1915_N02,4525,2090
BC1474_N01,3180,1695
BC1109_N02,5955,2651
BC2079_N01,1539,1046
BC2311_N01,5292,2883
BC1497_N01,5442,2548
BC1572_N02,2853,1535
BC0360_N02,441,394
BC1011_N01,2637,1548
BC2453_N01,1518,994
BC1104_N03,10339,4036
BC1645_N03,3522,1817
BC0288_N01,4125,2270
BC2988_N02,1000,777
BC1286_N01,2096,1250
BC2025_N02,3223,1825
BC2133_N03,3960,1931
BC1760_N01,618,484
BC1866_N02,3612,1882
BC1118_N01,2067,1325
BC1979_N02,4175,2199
BC2451_N01,6133,3045
BC2809_N01,2513,1476
BC2819_N01,4931,2741
BC1984_N02,3631,1926
BC0466_N01,5341,2887
BC1053_N02,5866,2647
BC0652_N01,6772,3048
