,nCounts,nFeatures
BC3212_N01,528,390
BC3202_N01,1901,1211
BC3196_N02,1917,1183
BC3195_N02,1049,715
BC3191_N02,1433,938
BC3182_N02,2058,1252
BC3180_N01,271,220
BC3176_N04,2679,1604
BC3175_N01,707,567
BC3171_N01,1349,930
BC3170_N03,1152,799
BC3169_N02,1583,993
BC3168_N01,968,709
BC3167_N01,1694,1165
BC3166_N03,2867,1713
BC3164_N01,6035,2969
BC3157_N01,223,199
BC3154_N01,130,117
BC3148_N02,295,262
BC3145_N05,2684,1549
BC3142_N01,726,550
BC3139_N02,2274,1491
BC3136_N02,1404,944
BC3135_N02,1677,1144
BC3132_N01,1091,762
BC3129_N02,2005,1371
BC3125_N01,4445,2121
BC3123_N01,933,684
BC3120_N03,1635,1001
BC3119_N01,1526,1003
BC3114_N03,2246,1240
BC3113_N02,1198,890
BC3112_N02,871,621
BC3111_N02,2109,1294
BC3108_N02,2268,1373
BC3107_N03,1817,1046
BC3104_N01,246,215
BC3102_N03,2041,1302
BC3100_N01,840,654
BC3098_N01,108,101
BC3096_N02,1410,955
BC3094_N01,1869,1170
BC3092_N04,2501,1437
BC3091_N03,1885,1132
BC3090_N02,1898,1132
BC3088_N01,1343,912
BC3087_N04,1597,1108
BC3086_N02,574,451
BC3078_N04,2988,1662
BC3076_N03,2642,1581
BC3075_N02,2228,1301
BC3069_N02,255,213
BC3066_N02,1920,1151
BC3065_N01,2507,1455
BC3063_N03,2811,1637
BC3057_N02,3298,1722
BC3055_N02,2323,1204
BC3053_N02,3151,1605
BC3050_N02,1887,1073
BC3049_N02,1267,857
BC3044_N04,3584,2008
BC3042_N02,1924,1226
BC3040_N02,2345,1381
BC3039_N02,1560,999
BC3035_N03,2856,1512
BC3031_N02,2690,1466
BC3029_N03,2933,1689
BC3025_N01,1735,1160
BC3024_N03,2442,1575
BC3021_N02,2104,1334
BC3020_N05,1717,1070
BC3017_N03,2711,1554
BC3016_N04,2972,1680
BC3015_N01,1167,830
BC3014_N01,2044,1331
BC3012_N04,4426,2529
BC3006_N02,2529,1604
BC3005_N01,2199,1366
BC3001_N03,3845,1948
BC2997_N01,1291,916
BC2992_N01,3509,1815
BC2990_N01,2744,1621
BC2987_N03,1814,1134
BC2986_N05,2724,1448
BC2978_N02,1228,792
BC2972_N04,2464,1420
BC2971_N01,1060,753
BC2968_N02,1105,758
BC2965_N02,2215,1326
BC2964_N03,2749,1605
BC2963_N01,2503,1584
BC2962_N03,2230,1305
BC2961_N02,1624,970
BC2960_N02,2049,1281
BC2959_N01,2626,1523
BC2957_N06,3385,1854
BC2956_N02,2447,1319
BC2955_N01,3880,2118
BC2952_N01,1656,1198
BC2950_N03,3919,2165
BC2949_N02,1440,975
BC2948_N04,2669,1401
BC3128_N01,656,532
BC2947_N02,1764,1120
BC2946_N05,6806,2927
BC2945_N01,1527,999
BC2942_N03,6620,3138
BC2941_N01,848,648
