,nCounts,nFeatures
BC3209_N01,310,244
BC3208_N01,2338,1256
BC3205_N01,5364,2543
BC3194_N01,420,296
BC3190_N01,2320,1105
BC3187_N01,598,407
BC3183_N02,1764,951
BC3173_N02,4937,1606
BC3163_N02,1736,1053
BC3162_N01,572,451
BC3160_N01,45,44
BC3158_N02,368,282
BC3151_N01,610,421
BC3147_N01,528,357
BC3146_N01,1257,798
BC3143_N01,435,337
BC3140_N03,2627,1411
BC3138_N03,1352,874
BC3134_N01,945,632
BC3133_N03,2959,1419
BC3131_N04,2688,1399
BC3130_N02,3274,1552
BC3127_N01,1117,758
BC3109_N01,439,338
BC3106_N01,883,634
BC3095_N04,1874,1112
BC3082_N01,55,54
BC3074_N03,1831,1092
BC3073_N01,2052,1125
BC3071_N04,1945,1121
BC3067_N01,834,577
BC3061_N03,3902,1674
BC3060_N02,2428,1310
BC3056_N02,2991,1558
BC3045_N04,2689,1244
BC3043_N02,2075,1171
BC3036_N02,2444,1287
BC3033_N01,488,360
BC3032_N01,2230,1211
BC3023_N03,2840,1422
BC3022_N02,597,439
BC3019_N03,2385,1174
BC3018_N01,1078,710
BC3009_N07,4084,1881
BC3008_N01,1837,1097
BC3153_N01,844,587
BC3004_N01,1226,800
BC2999_N03,4463,2096
BC2989_N03,2624,1393
BC2982_N02,1610,868
BC2977_N02,1941,1110
BC2958_N03,1623,1021
BC2953_N02,1433,888
BC3184_N01,215,187
BC2937_N01,424,334
BC2928_N04,4619,1943
BC2920_N02,2877,1324
BC2916_N02,3638,1614
BC3155_N03,1692,961
BC2895_N03,5029,2104
BC2894_N01,1569,992
BC2882_N03,3131,1553
BC2879_N04,4151,1849
BC2873_N01,2338,1421
BC2872_N02,898,621
BC2869_N03,872,622
BC2860_N04,1772,1152
BC2857_N01,670,469
BC2856_N01,2401,1335
BC2845_N02,3788,1921
BC2833_N03,3967,1456
BC2831_N03,4121,1825
BC2827_N02,2029,1142
BC2826_N01,204,171
BC2817_N02,2898,1484
BC2811_N01,401,321
BC2810_N05,2502,1287
BC2807_N02,1730,1006
BC2805_N02,1417,847
BC2804_N03,3104,1473
BC2797_N03,2771,1344
BC2793_N03,4882,2113
BC2791_N02,2370,1332
BC2781_N05,2054,1052
BC2780_N01,1833,1034
BC2779_N03,2077,1165
BC2775_N01,1989,1159
BC2772_N01,755,546
BC2771_N01,604,430
BC2770_N01,3303,1506
BC2757_N02,1026,726
BC2745_N02,2765,1351
BC2734_N03,5259,2216
BC2730_N01,2508,1418
BC2721_N02,1120,765
BC2715_N01,1665,975
BC2710_N01,2551,1467
BC2799_N03,1916,1195
BC2688_N03,3168,1592
BC2687_N04,3026,1430
