,nCounts,nFeatures
BC00001_N01,6703,3351
BC00002_N01,10983,5032
BC00004_N01,1658,843
BC00005_N01,10910,4784
BC00006_N03,15792,6578
BC00007_N01,9986,3443
BC00008_N01,13638,5976
BC00011_N01,5655,2624
BC00012_N01,788,416
BC00014_N01,749,393
BC00015_N02,14567,6252
BC00020_N01,16843,6649
BC00029_N03,12754,4178
BC00034_N02,16612,6035
BC00038_N01,14946,5718
BC00045_N01,4976,2312
BC00046_N01,1686,727
BC00047_N02,21647,7509
BC00062_N04,11265,2971
BC00063_N02,21603,6754
BC00072_N03,12955,4330
BC00073_N01,8954,3819
BC00074_N03,13323,4848
BC00092_N04,27773,8301
BC00096_N02,16328,5696
BC00112_N01,970,532
BC00115_N04,21422,5736
BC00116_N01,11456,4788
BC00140_N09,5437,2426
BC00154_N02,19972,6222
BC00163_N01,6617,3021
BC00172_N03,19078,6160
BC00178_N03,1303,569
BC00183_N01,9802,3868
BC00192_N05,22033,5801
BC00197_N01,11161,4678
BC00199_N01,11501,4742
BC00206_N04,27045,7071
BC00223_N01,12735,4833
BC00231_N01,8914,3637
BC00237_N02,15564,4762
BC00265_N01,9215,3845
BC00267_N03,1112,454
BC00274_N02,13875,4917
BC00281_N03,21453,5710
BC00286_N02,16248,5359
BC00295_N01,10779,4401
BC00299_N03,19997,5965
BC00300_N02,10458,4062
BC00309_N04,26716,7408
BC00312_N03,17183,5218
BC00313_N01,11042,4345
BC00317_N01,8642,3787
BC00322_N01,9640,4056
BC00326_N03,15964,4752
BC00333_N01,12097,4788
BC00335_N01,10400,4030
BC00344_N01,2469,1088
BC00348_N01,9922,4204
BC00352_N02,14011,4712
BC00354_N03,17496,5245
BC00362_N03,11202,3936
BC00375_N02,13118,4351
BC00384_N01,5825,2748
BC00388_N03,16947,5300
BC00394_N03,18801,5450
BC00403_N03,17582,5123
BC00409_N04,19185,5642
BC00416_N01,10104,4240
BC00427_N03,12474,4116
BC00438_N02,16721,5174
BC00440_N02,15728,4927
BC00441_N01,10381,4250
BC00443_N01,7925,3160
BC00453_N01,9609,3936
BC00455_N01,10559,4332
