,nCounts,nFeatures
BC1139_N01,11030,4285
BC1143_N01,9364,3866
BC1151_N01,10701,4211
BC1153_N01,10626,4228
BC1155_N04,23367,6457
BC1157_N02,17552,4827
BC1158_N04,34506,6284
BC1159_N02,18888,5084
BC1162_N03,21639,4935
BC1167_N02,18141,5106
BC1168_N01,8930,3780
BC1170_N01,11529,4563
BC1172_N03,24528,5381
BC1173_N02,17639,4805
BC1174_N01,9045,3583
BC1176_N02,10878,3174
BC1181_N01,9964,3939
BC1182_N01,7114,3190
BC1183_N02,18402,5275
BC1184_N01,9953,3960
BC1185_N03,23180,5379
BC1191_N01,10503,4151
BC1194_N01,9104,3898
BC1196_N01,10335,4013
BC1200_N01,10636,4166
BC1203_N02,19686,5215
BC1206_N01,10876,4287
BC1218_N01,9815,3944
BC1220_N02,16462,4132
BC1221_N03,21674,5288
BC1226_N04,30526,5527
BC1230_N02,16217,4852
BC1231_N01,10347,4120
BC1232_N02,12809,3538
BC1234_N01,9633,4004
BC1235_N01,9200,3886
BC1236_N01,10157,4278
BC1245_N03,18427,4580
BC1246_N03,21008,4645
BC1248_N01,8517,3691
BC1249_N01,10685,4156
BC1250_N02,15832,4674
BC1252_N01,9507,4017
BC1253_N02,14521,4284
BC1255_N02,18669,5054
BC1258_N01,8690,3629
BC1259_N01,10606,4198
BC1260_N02,16552,4704
BC1261_N02,13430,3982
BC1267_N01,9375,3899
BC1276_N01,8119,3543
BC1277_N01,9154,3783
BC1285_N01,9606,4027
BC1286_N01,8640,3676
BC1290_N01,10661,4202
BC1291_N01,9606,3917
BC1292_N02,16610,4436
BC1299_N02,15248,4625
BC1300_N02,17969,4616
BC1302_N02,13679,4013
BC1306_N01,10599,4323
BC1307_N03,27002,5789
BC1309_N02,1431,508
BC1313_N01,9765,4039
BC1317_N01,10241,4105
BC1318_N01,9742,3930
BC1319_N02,16412,4372
BC1322_N02,14617,4161
BC1327_N01,9079,3786
BC1330_N01,8176,3494
BC1331_N01,8138,3494
BC1332_N01,9586,4076
BC1333_N01,7687,3330
BC1336_N02,13997,3940
BC1337_N04,18637,4112
BC1338_N01,10137,3919
BC1339_N01,8243,3467
BC1340_N01,9738,3932
BC1343_N01,10807,4183
BC1346_N01,9928,3963
BC1347_N02,15929,4361
BC1349_N02,14362,4457
BC1350_N01,4007,1803
BC1352_N01,9273,3859
BC1353_N01,9204,3790
BC1355_N03,24055,4817
BC1358_N01,11287,4371
BC1360_N02,13506,4248
BC1361_N01,8633,3784
BC1365_N01,10001,3942
BC1367_N01,9177,3782
BC1369_N01,9841,4059
BC1373_N02,14300,4275
BC1375_N01,9502,3899
BC1377_N01,8309,3566
BC1381_N01,9867,3973
BC1382_N01,9530,3855
BC1384_N01,10216,4245
BC1387_N02,14974,4028
BC1388_N02,19500,5107
BC1390_N03,21824,5067
BC1392_N03,15142,4135
BC1398_N02,13584,3976
BC1399_N01,10465,4028
BC1402_N02,15354,4116
BC1403_N04,29518,5320
BC1404_N01,9673,4065
BC1410_N01,8014,3519
BC1411_N01,8765,3721
BC1426_N01,9760,4092
BC1427_N01,6921,3087
BC1428_N02,13234,3491
BC1431_N02,16869,4572
BC1432_N02,18189,4797
BC1437_N03,23392,4883
BC1438_N01,7953,3440
BC1442_N02,14262,4346
BC1443_N02,16308,4692
BC1448_N01,8373,3557
BC1451_N02,16443,4326
BC1453_N01,9162,3782
BC1455_N01,8872,3705
BC1458_N02,14237,4350
BC1460_N01,8534,3601
BC1465_N01,8896,3685
BC1467_N01,9879,4024
